Author/s,Title,Date Published,Abstract,DOI,Policy Area,Partner Organisation,Pre-analysis Plan,Reference ,Experiment type,Design,Sample size (or clusters if individuals not given),Result,Data used,Link,Notes if we like it,Example used by AM Leigh,Source,AM reference,Citation,Unnamed: 20,Q1,Q2,Q3,Q4,Q5,Q6
BETA & DSS,Encouraging survey participation to evaluate social service program outcomes,2017,"The Community Grants Hub, implemented by the Department of Social Services 
(DSS), supports the administration and delivery of over 21,000 community grants 
across government. These grants, worth around $7.8 billion, provide valuable 
support services to individuals, families and their communities across Australia. 
To enable the collection of meaningful data about service delivery outcomes from 
organisations receiving community grants, DSS introduced a new reporting platform 
called the Data Exchange. As part of this platform, DSS piloted a client survey to 
enable clients to self-report on why they sought assistance and the outcomes of 
accessing the service. We partnered with DSS to develop and test ways to 
encourage greater survey completion rates.
There are many reasons why people may not complete a survey in its entirety. 
People may not understand why the survey is important, may not anticipate how long 
it will take, or simply think the required effort is just not worth it.
To address these challenges, we incorporated small behaviourally-informed 
progress updates into the Data Exchange survey. Updates were presented in a form 
of a gradually completing pie-chart, accompanied by short messages with references 
to social norms and highlighting how completing the survey would benefit the 
individual and their community. 
We ran a trial to test whether our re-designed survey worked. We found our changes 
had a significant impact, increasing survey completion by 6.8 percentage points, 
from 84.7 per cent to 91.5 per cent.
The outcomes of this trial show how simple low-cost changes to survey design may 
increase survey completion. With many government and private organisations using 
surveys to better understand and service their clients, the significance of this finding 
extends beyond future redesigns of the Data Exchange survey and should be 
considered by other organisations looking to survey their clients",,"Social, Health",,,,,,,,,Encouraging survey participation to evaluate social service program outcomes | Behavioural Economics (pmc.gov.au),,,,,,,Social Services,Full study with results.,Field experiment,Unsure,The sample size is not given.,"Yes, the study showed statistically significant results. The re-designed survey increased completion"
BETA & Department of Energy,Electricity information to fit the bill: redesigning electricity bills to support consumer engagement,2018,"Part of the reason for this is the difficulty in comparing offers, with many consumers reporting 
they are not confident making choices in the electricity market. The ACCC’s recent Electricity 
supply and prices inquiry highlights there is unnecessary complexity in the way electricity 
plans are communicated. The Australian Energy Market Commission’s 2018 Retail Energy 
Competition Review similarly finds consumers have reached record-low levels of trust in the 
industry.
In our previous work, BETA found re-designing electricity price fact sheets could increase 
consumer confidence when it comes to engaging in the electricity market. But a range of 
behavioural traits still contribute to consumer inertia: the time and effort needed to seek out, 
compare offers and choose a plan can seem like it’s just not worth the hassle; and many 
consumers fear something will go wrong if they switch. 
Electricity bills are a key way to inform consumers about their plan and usage, but bills are 
typically confusing and not useful to help consumers navigate the electricity market. Given all 
electricity consumers receive bills, the bill itself presents a useful vehicle to communicate the 
information consumers need to engage confidently in the electricity market. 
In partnership with the Department of the Environment and Energy, we drew on behavioural 
insights to design and test six electricity bills. We focussed on simplifying bill design to draw 
attention to key information, and including a ‘ways to save’ box encouraging consumers to 
search for and switch to a better plan.
We tested electricity bills with around 4,200 Australians through an online survey experiment 
focussing on two key outcomes:
 confidence using the electricity bill to help look into finding a better plan; and 
 stated intention to look into options for switching plans in the next year.
We found simplified bills with ‘ways to save’ information increased consumers’ confidence by 
up to 13 per cent. But this did not translate into intention to look for a better offer.
Increasing consumer confidence in a market facing record-low levels of trust is important. For 
this reason alone, making bills clearer and more accessible for consumers makes sense and 
should be considered by electricity retailers.",,"Energy, Financial ",,,,,,,,,Electricity information to fit the bill: redesigning electricity bills to support consumer engagement | Behavioural Economics (pmc.gov.au),,,,,,,Consumer Protection,This is a full study with results.,Survey experiment,Unsure,"4,200",The study found that simplified bills with 'ways to save' information increased consumers
BETA & Australian Cyber Security Centre (ACSC),password123: Applying behavioural insights to cyber security advice,2019,"The risks of poor cyber security intensify as more aspects of people’s lives and businesses 
become digitised and connected online. The methods cybercriminals use are more 
sophisticated than ever, meaning regular (non-expert) individuals and small businesses must 
also improve their ability to detect scams and protect their personal and business accounts 
and devices.
To help improve the impact of cyber security advice for individuals and small businesses, 
BETA partnered with the Australian Cyber Security Centre (ACSC) to design and test 
different formats of advice. We conducted focus groups and two survey experiments (surveys 
with embedded randomised controlled trials) to understand whether behavioural insights 
concepts are effective in shifting people’s intentions to enact safer cyber security practices. 
We surveyed small and medium business (SMB) owners and operators and tested the effect 
of different formats of advice. 
We developed plain text advice, a visually engaging infographic, and an ‘interactive’ format 
which asked a quiz question and then ‘revealed’ the correct answer in an infographic. We 
found seeing any type of cyber security advice strengthened SMB’s intentions to update 
software and back up data, by nine per cent and six per cent respectively, compared to those 
who saw no advice. The interactive advice also appeared to improve SMB’s accuracy in 
identifying phishing (fake) emails from genuine ones. However, in most cases plain text 
advice performed just as well as the same content presented in an infographic or interactive 
format. This suggests simple, jargon-free language may still be the most important aspect to 
consider in any advice. 
To better understand which approaches resonate most with individuals, we conducted four 
focus groups across metropolitan and regional areas in New South Wales (two groups) and 
Victoria (two groups). We asked participants to tell us about their reactions to different design 
concepts, as well as talk to their level of cyber security expertise and their experience of
cyber incidents.
Based on these findings, we designed advice using the messenger effect and tested the 
impact of our designs in an online survey experiment. We compared a ‘peer’ messenger to 
an ‘expert’ messenger (two senior government officials working in cyber security). We also 
tested whether participants responded more strongly to advice emphasising financial or nonfinancial costs of having poor cyber security. 
We found some evidence messengers may have a small positive impact on people’s 
intentions to update their software, but we only have moderate confidence in this finding. We 
also found no effect from messengers on people’s intentions to use strong and different 
passwords across important accounts, and no effect on either cyber security practice from 
using different financial or non-financial loss framing. Overall, our research suggests making 
cyber security advice salient and engaging can help make key messages stand out. 
However, simply providing advice alone is insufficient to change behaviour, and further 
research is needed to better understand which formats, framing, and channels are most 
impactful for different groups",,Cyber security,,,,,,,,,password123: Applying behavioural insights to cyber security advice | Behavioural Economics (pmc.gov.au),,,,,,,Cyber Security,This is a full study with results.,Survey experiment,Regular RCT,The sample size is not given.,The study showed some statistically significant results. It found that seeing any type of
BETA & DSS,Applying behavioural insights to online wagering,2020,"Online wagering is the fastest growing segment of gambling in Australia, and people who 
gamble online have been found to experience higher rates of gambling-related harm 
compared with other forms of gambling (Jenkinson et al. 2019). The Department of Social 
Services (DSS) commissioned BETA to design and evaluate easy-to-understand activity 
statements for online wagering consumers. Activity statements provide online wagering 
consumers with details of their gambling activities, including bets made, wins, losses and 
other account transactions over a specified time period. Drawing on principles from the 
National Consumer Protection Framework for Online Wagering - National Policy Statement 
(National Framework) and insights from behavioural science, BETA developed and tested
two activity statement prototypes. 
In a behavioural trial (experiment) using a purpose-built simulated gambling platform, we 
found showing participants an activity statement reduced the amount they bet when 
compared with participants who did not see a statement (by 7.6 per cent for Statement A and 
4.9 per cent for Statement B). This suggests providing online gamblers with regular, clear and 
useful information about their gambling can strengthen informed decision-making.
We focussed the design and content of the activity statements on correcting several 
behavioural biases known to affect gambling decisions. These relate to misperceptions about 
the randomness of events and probabilities (expecting a win after a series of losses), 
misperceptions about personal attributes and behaviours (beliefs about being a lucky person) 
and loss aversion (valuing losses more than gains). We found activity statements had a 
stronger effect for participants who held false gambling beliefs.
We also found viewing activity statements to have a stronger effect on the amount bet for 
moderate-risk gamblers, and those with lower financial literacy. A significant effect was also 
found for gamblers with loss-chasing tendencies. Taken together these findings suggest the 
activity statements are effective for groups at-risk of harm from gambling.
Participants completed a survey at the end of the simulated gambling platform to examine 
their views on the usefulness and ease-of-understanding of the prototypes. Comprehension 
was high, and participants overwhelmingly indicated a desire to receive activity statements 
from their online wagering service provider. Nearly all participants (91 per cent) said they 
would like to receive the statements in real life; many preferred this to be via email and every 
month.
The results from this project suggest activity statements have a significant role to play in 
reducing harm from gambling and providing online wagering consumers with meaningful and 
accessible information in order to make informed decisions about their gambling. The report 
sets out the recommended elements and style designs which have been found to achieve the 
objectives in the National Framework",,"Social, Health",,,,,,,,,Applying behavioural insights to online wagering | Behavioural Economics (pmc.gov.au),,,,,,,Gambling Policy,This is a full study with results.,Field experiment,A regular RCT,The sample size is not given.,"Yes, the study showed statistically significant results. The results indicated that showing participants"
BETA & ASIC,Slowing down to add it up: using behavioural insights to support decision-making about add-on insurance,2020,"Add-on insurance is insurance offered to consumers as an add-on when they buy a primary 
product (the main item consumers buy). Examples include travel insurance when buying a flight 
and extended warranties on items like phones, laptops, or whitegoods. Numerous reviews have 
found consumers often receive poor value for money, experience pressure to buy, and have 
low levels of understanding of and engagement with the add-on insurance market (Australian 
Securities and Investments Commission [ASIC], 2016a, 2016b, 2016c, 2019; Productivity 
Commission, 2018; Royal Commission into Misconduct in the Banking, Superannuation and 
Financial Services Industry, 2019; Treasury, 2019).
A number of behavioural biases and heuristics come into play when people consider insurance
generally, including loss, risk, and regret aversion. By tacking an offer onto the end of the 
primary purchase, the sales environment for add-on insurance heightens these and other
barriers such as sunk cost bias and anchoring to the price of the main product. These are 
further exacerbated during in-person sales, where the rapport a sales person builds during the 
consumer’s purchase of the primary product may make it harder for the consumer to say ‘no’.
The Government has agreed to address these concerns through a deferred sales model, with 
ASIC to be given power to mandate the content of an information statement at the start of the 
deferral period. BETA partnered with ASIC to design and test an information statement to 
address some of these barriers and help consumers make more informed decisions by 
intervening in the sales process and providing an opt-out mechanism. In particular, the 
intervention sought to highlight the fact add-on insurance is not compulsory, prompt consumers 
to consider the value of the insurance and their personal circumstances, and encourage them 
to shop around. We also tested devices such as colour, icons, the government crest, and an 
Australian dollar coin to engage people in the content of the statement. We tested the effect of 
seeing an information statement, as well as variations of different statement designs, using a 
framed field experiment with a nationally representative sample of 6,243 people.
We found being given any information statement substantially decreased sales of add-on 
insurance in our experiment. Of people who were given an information statement, 29 per cent 
bought add-on insurance compared to 38 per cent of people who were not given an information 
statement. This is a 24 per cent reduction: a large and statistically significant difference. The 
impact was similar across all statement designs.
Our findings support the use of timely, clear, targeted and engaging prompts to better inform
consumers and help slow down the decision-making process. They also suggest the 
information statement gave people ‘permission’ to turn down the offer by reminding them they 
weren’t legally required to buy add-on insurance. Looking ahead, research in real-world 
settings can help determine the long term impact of an information statement on demand for 
add-on insurance in Australia. Regardless of the final design, an information statement can act 
as an effective intervention to help create a buffer between the main sale and add-on sale, 
giving consumers space to make a decision",,Financial,,,,,,,,,https://behaviouraleconomics.pmc.gov.au/projects/slowing-down-add-it-using-behavioural-insights-support-decision-making-about-add-insurance,,,,,,,Consumer Protection,This is a full study with results.,Field experiment,Framed field experiment,6243,"Yes, the study showed statistically significant results. The results indicated that providing an"
BETA & Australian Financial Security Authority,Clearer consequences: Helping people understand the outcomes of bankruptcy,2020,"For people in financial difficulties, applying for bankruptcy is a major life decision. Bankruptcy
releases people from most types of debt, giving them a fresh start. There are, however, 
additional consequences to applying for bankruptcy – and deciding whether the benefits 
outweigh these consequences can be challenging. 
Applicants may experience cognitive overload due to new, complex and unfamiliar 
information – making it harder to make the optimal decision. Some applicants may be overly 
optimistic in their ability to deal with bankruptcy consequences and fail to consider them in 
full, or they may simply not wish to engage with distressing information. 
The Australian Financial Security Authority (AFSA) oversees personal insolvencies (including 
bankruptcy) in Australia. In 2020, AFSA streamlined the bankruptcy application process by 
moving it online, and worked to ensure applicants understand the consequences of going 
bankrupt before they apply.
BETA and AFSA worked together to develop several approaches to informing people about 
the consequences of bankruptcy, giving them the required information to make an 
appropriate decision for their circumstances. We ran two evaluation projects: 
1. Increasing understanding of the consequences of bankruptcy
Most bankruptcy applicants need to complete an educational tool (known as the 
‘consequences tool’) before they can apply for bankruptcy. In an online experiment with the 
general public, we tested six versions of the consequences tool. We measured people’s 
understanding of the consequences of bankruptcy by asking them a set of questions after 
they had completed one of the consequences tools.
People who did not see any consequences tool had a relatively low understanding of 
bankruptcy. They were able to correctly identify fewer than half of the consequences. The 
current consequences tool and the ‘Prescribed Information’ (information presented to all 
applicants at the start of the bankruptcy application form) improved people’s understanding of 
the consequences. Two further educational tools, a video and a pop-up quiz, performed the 
best in improving people’s understanding and confidence.
2. Testing the impact of tailored and timely prompts within the application form
In a randomised controlled trial with bankruptcy applicants, we evaluated the effect of five 
prompts within the online bankruptcy application form. These prompts provided timely and 
tailored information on the consequences of bankruptcy. For the most part, including the 
prompts did not influence applicants’ reporting behaviour (completion rate, value and count of 
assets, income declared), and did not have any unintended side-effects. 
The findings of these projects have broader implications for how the Government 
communicates with citizens. Across many services, the Government often needs to ensure 
people understand and apply complex information. This research contributes to our 
understanding of how this is best achieved",,Financial,,,,,,,,,Clearer consequences: Helping people understand the outcomes of bankruptcy | Behavioural Economics (pmc.gov.au),,,,,,,Financial Education,Full study with results.,Field experiment,Randomised controlled trial (RCT),The sample size is not given.,The description does not specify whether the study showed statistically significant results. It mentions
BETA & Australian Financial Security Authority,Introducing behavioural insights to the Personal Property Securities Register,2020,"The Personal Property Securities Register (PPSR) supports the growth of Australia’s economy. The 
PPSR makes it easy for businesses to safeguard their security interests (money owed to them or other 
obligations), helps them make informed purchasing decisions, and facilitates secured lending.
Businesses (and other entity types) register on the PPSR by completing an online form hosted by the 
Australian Financial Security Authority (AFSA).
For a registration to be effective, businesses must provide details about themselves, the assets they 
are registering, and the other party in the transaction (known as the Grantor). Our previous research 
indicates some less frequent PPSR users get some of these details incorrect - in particular, details 
relating to the other party.
In response to BETA’s recommendations from our previous research (BETA 2020), AFSA 
implemented enhancements to the PPSR system, processes and supporting information. These 
enhancements focused on improving the experience for infrequent users. Two of these 
recommendations were evaluated using randomised controlled trials (RCTs):
1. A redesigned review screen
To prevent users from rushing through the registration process and to highlight the importance 
of registering correctly, we redesigned the review screen. A new pop-up alerted users that 
incorrectly completed registrations may not be valid. Users were also required to confirm 
details about themselves, details of what they were registering and details of the Grantor. We 
found these new additions to the review screen did not result in any improvement in the 
accuracy of registrations. 
2. New layout of the Grantor page and error-warning prompts
We introduced a more intuitive way of asking users to identify the Grantor. We also added five 
customised prompts that appeared when a mistake relating to a Grantor was made. These 
changes almost halved the number of incorrect transactions: 22.3% of PPSR transactions 
made by users who completed the business-as-usual registration form were incorrect, 
compared to only 12.8% of transactions made by those who saw the redesigned page. 
These evaluations shed light on ways government agencies can help less frequent users navigate 
complex registration processes. AFSA is planning to adopt the prompts as its business-as-usual 
practice, and is considering how to adopt the new Grantor page layout across the different user 
cohorts. Given the review screen did not decrease incorrect transactions, AFSA have opted to 
maintain their current review screen",,Financial,,,,,,,,,Introducing behavioural insights to the Personal Property Securities Register | Behavioural Economics (pmc.gov.au),,,,,,,Regulatory Compliance,This is a full study with results.,Field experiment,Regular RCT,The sample size is not given.,"Yes, the study showed statistically significant results. The new layout of the Grant"
BETA & Home Affairs,Stay smart: helping consumers choose cyber secure smart devices,2021,"Smart’ devices are products with extra functionality to connect to the internet. Many smart 
devices lack basic cyber security features, and their rising popularity increases the risk of 
cyber security incidents and cybercrime. Consumers may not be aware of the risk of insecure 
smart devices, as it is currently difficult to find and use cyber security information when 
shopping for smart devices. As a result, manufacturers are not sufficiently incentivised to 
invest in cyber security.
A cyber security labelling scheme may help consumers make better purchasing
decisions. A label could communicate to consumers the overall level of cyber security of the 
device, or specific details such as for how long it will continue to receive security updates. 
This would allow consumers to compare products and make more cyber secure purchases.
In partnership with the Department of Home Affairs, BETA explored how cyber security labels 
could perform in an Australian setting. We designed three different cyber security labels:
a ‘graded’ label, using shield and tick icons to indicate four levels of cyber security; and two 
‘expiry’ labels, indicating how long the device would receive guaranteed security updates 
(e.g. “guaranteed until August 2023”). One expiry label included an icon, the other simply 
included the same information in plain text. 
We tested the labels in an online ‘shopping scenario’ with a nationally representative sample 
of 6,000 Australians. Participants were asked to choose which smart devices they would like 
to ‘buy’. We found:
• Participants were more likely to choose a device with a cyber security label than one 
without a label, by 13-19 percentage points.
• The graded shield had the largest impact, but the expiry labels were still effective.
• A high security level or long expiry date increased the likelihood of choosing a device.
Follow-up questions and analysis allowed us to examine the different advantages and 
disadvantages of each label:
• Participants preferred both the graded shield label and the icon expiry label over the 
plain text expiry label.
• Participants generally had a better understanding of what the two expiry labels were 
communicating compared to the graded shield label. 
We expect in the real world people’s understanding of the labels would increase over time as 
they become familiar with them, and especially if supported by a consumer education 
campaign.
These results demonstrate the potential for a labelling scheme to improve consumer 
decision-making in the Australian smart device market. Further research in the field –
such as partnering with a retailer and evaluating the impact of cyber security labels on real 
choices made by actual consumers – could be considered to test how the current findings 
translate to a real-world context. ",,Cyber security,,,,,,,,,Stay smart: helping consumers choose cyber secure smart devices | Behavioural Economics (pmc.gov.au),,,,,,,Cybersecurity Policy,This is a full study with results.,Survey experiment,Regular RCT,6000,The study showed statistically significant results. Participants were more likely to choose a device
BETA & Australian Energy Regulator (AER),Simplifying energy fact sheets to improve consumer understanding,2021,Improving energy bills,,"Environment, Energy, Financial",,,,,,,,,Simplifying energy f...~https://behaviouraleconomics.pmc.gov.au/projects/simplifying-energy-fact-sheets-improve-consumer-understanding,,,,,,,Consumer Protection,"The description appears to be a protocol or pre-analysis plan, as it mentions",Field experiment,Unsure,The sample size is not given.,The description does not provide enough information to determine if the study showed statistically significant
BETA & Organ and Tissue Authority,Improving organ donor registration among young adults,2021,"The Organ and Tissue Authority (OTA) engaged the Behavioural Economics Team of the 
Australian Government (BETA) to learn more about how young adults (18-25 years) view 
organ donation, and to inform their annual DonateLife Week community awareness 
campaign. In particular, the OTA noted the large gap between the proportion of young adults 
who say they want to be organ donors and the proportion who have actually registered on the 
Australian Organ Donor Register. The act of registering is important as it provides a clear 
indication of wishes to family, and results in an increased likelihood that if a family is 
approached to consent to donation in the hospital, they will agree. In turn, this can help more 
people get a life-saving organ transplant.
The project involved 3 stages.
• We conducted desktop research of organ donation and behavioural science 
literatures and developed draft messages for potential use by the OTA.
• In May 2021, we ran four focus groups with 5-7 young adults per group, to learn 
about their views on organ donation, and to gather feedback on the draft messages.
• Also in May, we conducted an online survey experiment and survey with 1,382 
respondents to gather views from a larger sample and to better understand which 
messages influence behaviour.
Many young adults want to be organ donors but just haven’t gotten around to it. That is, 
there is an intention-action gap when it comes to registering as an organ donor. One 
explanation for this is that young adults typically overestimate how difficult it will be to register
as an organ donor. (It is actually pretty easy.)
We used an online survey experiment to test 3 messages to assess whether they boosted 
registration intentions, as well as click throughs to the registration webpage and actual 
registrations. The most effective message highlighted how easy it is to register. It 
boosted intentions to register within the next week by 7-8 percentage points compared to the 
alternatives messages (29% of respondents versus 21-22%). However, in a separate survey 
question, respondents preferred other messages. Nonetheless, we consider the experimental 
evidence on intentions to register as stronger evidence than stated preferences. 
People are more likely to register if there are more opportunities to do so. Young adults 
would welcome opportunities to register as part of other government processes. Ideally, such 
processes would be in some way related to organ donation. Utilising Medicare interactions 
presents a compelling option (with 72% of respondents responding positively). Other popular 
options included the myGov platform (55%), and driver’s licences (54%).
The OTA have since used the results of this project to inform their national community 
engagement program",,Public Health,,,,,,,,,Improving organ donor registration among young adults | Behavioural Economics (pmc.gov.au),,,,,,,Health Policy,This is a full study with results.,Survey experiment,Something else,1382,"The study showed that the most effective message, which highlighted how easy it is"
BETA & Treasury,YourSuper Comparison Tool: Results from a survey and two survey experiments,2021,"Why we undertook this project
Many Australians have invested their savings in superannuation funds that significantly underperform benchmark net returns. This is typically due to a combination of weak returns and high fees. Ultimately, underperformance can lead to retirement savings that are far lower than they might have been. 
The YourSuper Comparison Tool website (‘the comparison tool’) was developed to empower superannuation fund members. The comparison tool allows people to compare the performance and fees of MySuper products, with the aim of making it easier for them to choose a well performing product that meets their needs.  
What we did
The Australian Taxation Office (ATO) led the design and development of the comparison tool, in collaboration with a multi-agency team comprising staff from the Treasury, the Australian Securities and Investment Commission (ASIC), the Australian Prudential Regulation Authority (APRA), and the Behavioural Economics Team of the Australian Government (BETA). 
BETA and the ATO’s Behavioural Insights Unit worked together to contribute behavioural insights to the design process. This included running a survey and 2 survey experiments to generate relevant evidence. The survey, completed by 2,236 eligible respondents in January 2021, included questions on: when respondents would be likely to use the comparison tool, the best way to describe a poor performer, and, in which format they would prefer an ‘underperformance notice’ (mail or email). 
Results and limitations
In the first survey experiment, we tested how super products were classified and sorted on the results page of the comparison tool. They were either placed into 2 categories (‘poor’ or ‘good’ performance) or 3 categories (‘poor’, ‘fair’, or ‘top’ performance). As we expected, respondents who saw the additional ‘top’ performance category were better at selecting one of the best performing funds than those who saw only 2 performance categories.  
In the second experiment, we tested different ways to communicate the risk/return trade off associated with different super products. For example we tested accurate but technical language (such as ‘low risk and low expected return’) against terms that are common in the super industry but where the risk level is implied (such as ‘conservative’, ‘balanced’ and ‘growth’). Respondents who were presented with common industry terms for risk/return were better at selecting the optimal option in the scenario presented.
Our overall judgement is that these results are likely to reflect how people would respond to these design options in the real world. Some caution is warranted since survey experiments only test responses in an artificial setting. Furthermore, online survey panels are not fully representative of the general population. However, we collected a large and diverse sample of superannuation members, and we designed an experiment that sought to mimic real world decision making. 
This research was considered in the development of the YourSuper comparison tool alongside user research conducted by the ATO and consultation with the super fund industry and other stakeholders.
This report is accompanied by a spreadsheet appendix with full survey results (tabulated). It is available at: https://behaviouraleconomics.pmc.gov.au/projects/yoursuper-comparison-tool-results-survey-and-two-survey-experiments",,"Financial, Superannuation",,,,,,,,,YourSuper Comparison Tool: Results from a survey and two survey experiments | Behavioural Economics (pmc.gov.au),,,,,,,Retirement Savings,This is a full study with results.,Survey experiment,Unsure,"2,236",The study showed that respondents who saw the additional 'top' performance category were
BETA & ACCC,Increasing transparency of online foreign exchange calculators,2023,"Every year, Australians transfer an estimated $21 billion to family and friends overseas, 
making use of international money transfer (IMT) services (ACCC 2019). However, IMT 
pricing is complex and often not transparent for consumers. To assist businesses supplying 
IMT services, the Australian Competition and Consumer Commission issued best practice 
guidance, aimed at improving how IMT offers are presented to consumers. As a result, 
businesses now provide IMT calculators to allow consumers to better understand the 
costs associated with the transaction, and ultimately get better value for their transfer.
However, while IMT calculators can help, there is still room for improvement. Calculators 
differ from provider to provider, which means that comparing offers across different 
calculators is challenging. In particular, when a calculator adds fees (rather than subtracting 
them) it is harder to compare offers; no-fee transfers can ‘hide’ the cost of the transaction in a 
high foreign exchange rate (FX) margin; and the total cost of the transaction to the customer 
is often hard to determine directly. 
BETA worked with the ACCC to design and test changes to online IMT calculators that 
could help consumers choose better value offers. We first designed seven new 
calculators to address the three key problems outlined above. We then ran online survey 
experiments with 5,673 Australians to test which type of calculator best helped consumers 
choose the best value offer. We found: 
Consistently subtracting fees made it easy to compare offers and choose the best 
deal. When fees are consistently subtracted, the cost to the customer remains the same 
across providers and people can therefore rely on the amount received by the recipient – a 
common heuristic – to accurately guide them to the highest value offer. Consistently 
subtracting fees also made people more confident in their choices.
Providing ‘comparison rate prompts’ also improved people’s ability to choose the best 
deal. These prompts summarised the total cost of the transaction as a dollar value or per 
cent. Further, the prompts were also the most impactful when people were asked to judge the 
value from a single calculator (without a comparison). We found no evidence of ‘cognitive 
overload’ or other downsides when combining elements in a single calculator; e.g. adding 
prompts, FX margins, and consistently subtracting fees.
Based on these findings, subtracting fees and adding a comparison prompt would result in 
the highest performance both when consumers are considering a single offer, and when they 
are comparing offers. These results demonstrate the potential for improvements to IMT 
calculators further helping consumers choose the best deal when making international 
money transfers. Further research in the field – such as partnering with an IMT provider and 
evaluating the impact of calculators on real choices made by actual consumers – could be 
considered to test how the current findings translate to a real-world context",,"Financial, Currency exchange",,,,,,,,,Increasing transparency of online foreign exchange calculators | Behavioural Economics (pmc.gov.au),,,,,,,Consumer Protection,This is a full study with results.,Survey experiment,Regular RCT,5673,The study found that consistently subtracting fees and providing comparison rate prompts improved consumers
BETA & APSC,Increasing disability identification in the Australian Public Service,2023,"All government agencies collect employee data, including disability status, in human resource 
(HR) information systems for the Australian Public Service Employment Database (APSED). 
At June 2023, half as many people have shared they have a disability in HR systems 
(5.1%) compared to those who have shared the same information in the de-identified 
Australian Public Service Employee Census (10.9%; APSC 2023a).
Attitudinal, organisational and structural barriers prevent some employees from sharing their 
information in HR systems. Workplace culture, policies and practices influence employee 
comfort in sharing information. Moreover, some staff choose not to share information 
because they do not see a benefit to doing so or hold concerns about negative career 
impacts. Explaining the purpose of sharing information and the protections in place can help 
reduce ambiguity and overcome these barriers. Our research focuses on how agencies 
communicate about disability data collection and use. 
Across 2 projects, we applied behavioural science to help inform APS employees about 
disability data collection: 
Part 1: In consultation with APS employees with disability and HR professionals, 
BETA developed guidance materials for APS HR professionals to support their 
communication with employees about data collection and use. 
Insights: Clear and complete information about data collection and use to 
employees reduces uncertainty, while preserving employees’ autonomy to decide 
what is right for themselves. For example, practical information about the privacy and 
confidentiality of HR data can help reduce concerns. 
Part 2: BETA designed and tested 4 different reminder emails encouraging APS 
employees in a large agency to update their diversity details in their agency HR 
systems. 
Insights: An email to employees highlighting the ease of updating disability 
information in their agency HR system resulted in more people sharing their 
information. Email reminders are a low-cost and practical way to encourage 
employees to update their diversity details in HR systems. Our trial shows that small 
changes in email reminders can significantly impact behaviour.",,HR,,,,,,,,,Increasing disabilit...~https://behaviouraleconomics.pmc.gov.au/projects/increasing-disability-identification-australian-public-service,,,,,,,Disability Inclusion,This is a full study with results.,Field experiment,Clustered RCT,The sample size is not given.,The description does not provide specific information on whether the study showed statistically significant results
